Año,Trimestre,Provincia,Accesos_100_hogares,KPI_hogares_2%,Fibra_optica,KPI_fibra_10%,Accesos_100_hab,ADSL,Cablemodem,Wireless,Otros,Total
2022,2,La Pampa,92.98,94.8396,22994.0,26443.1,30.632721559665782,7796.0,59273.0,20200.0,1264.0,111527.0
2022,2,La Rioja,80.14,81.7428,19189.0,22067.35,21.331409216914373,7759.0,52656.0,6395.0,31.0,86030.0
2022,2,Mendoza,49.39,50.3778,135504.0,155829.59999999998,13.782233784570575,37663.0,77504.0,26964.0,1927.0,279562.0
2022,2,Misiones,51.0,52.02,33649.0,38696.35,13.89002818196789,37208.0,89260.0,11074.0,7622.0,178813.0
2022,2,Neuquén,80.02,81.6204,28824.0,33147.6,23.81745752817118,29749.0,74905.0,27371.0,1119.0,161968.0
2022,2,Río Negro,67.85,69.207,40946.0,47087.899999999994,20.8675435273834,36050.0,47040.0,16760.0,18968.0,159764.0
2022,2,Salta,57.54,58.6908,47076.0,54137.399999999994,13.936010557448652,42665.0,96178.0,10068.0,7190.0,203177.0
2022,2,San Juan,49.46,50.449200000000005,12328.0,14177.199999999999,12.597912455631214,38570.0,19734.0,21859.0,7916.0,100407.0
2022,2,San Luis,81.76,83.3952,248.0,285.2,23.396972678771853,6860.0,29034.0,70614.0,14985.0,121741.0
2022,2,Santa Cruz,43.15,44.013,10815.0,12437.249999999998,12.83962283852644,10170.0,23725.0,3896.0,579.0,49185.0
2022,2,Santa Fe,77.9,79.45800000000001,189503.0,217928.44999999998,24.495906799164608,198492.0,428233.0,43081.0,19550.0,878859.0
2022,2,Santiago Del Estero,47.7,48.654,11605.0,13345.749999999998,11.836737968128928,16561.0,80338.0,6618.0,2922.0,118044.0
2022,2,Tierra Del Fuego,99.86,101.8572,403.0,463.45,29.60495526496903,12754.0,39837.0,125.0,651.0,53770.0
2022,2,Tucumán,59.31,60.4962,148823.0,171146.44999999998,14.6914572899128,85893.0,15327.0,3997.0,487.0,254527.0
2022,1,Buenos Aires,76.07814661157262,77.59970954380407,1242121.0,1428439.15,25.56303015202836,392045.0,2728865.0,125521.0,66872.0,4555424.0
2022,1,Capital Federal,111.79786269174652,114.03381994558144,62308.0,71654.2,46.01434762144353,102290.0,1217225.0,5784.0,29934.0,1417541.0
2022,1,Catamarca,58.20635083561171,59.370477852323944,29118.0,33485.7,14.805619574995312,14181.0,15517.0,1328.0,2234.0,62378.0
2022,1,Chaco,44.05948009941883,44.9406697014072,36662.0,42161.299999999996,11.775342040436144,32391.0,64546.0,8164.0,2356.0,144119.0
2022,1,Chubut,88.05274093835774,89.8137957571249,9184.0,10561.599999999999,26.9887596631044,44133.0,66667.0,30592.0,21052.0,171628.0
2022,1,Córdoba,85.75745356313551,87.47260263439823,235838.0,271213.69999999995,26.255262218351167,195610.0,501799.0,60843.0,9713.0,1003803.0
2022,1,Corrientes,47.644635141502334,48.59752784433238,10875.0,12506.249999999998,12.545281287312791,40462.0,79093.0,6774.0,5374.0,142578.0
2022,1,Entre Ríos,63.70090347123158,64.97492154065621,23091.0,26554.649999999998,19.04540527092108,67159.0,138986.0,26098.0,12592.0,267926.0
2022,1,Formosa,34.955686995751336,35.65480073566636,5146.0,5917.9,8.896427435598431,16397.0,15927.0,16876.0,202.0,54548.0
2022,1,Jujuy,58.06462866426784,59.2259212375532,25949.0,29841.35,14.847641828629394,21307.0,60616.0,4662.0,3975.0,116509.0
2022,1,La Pampa,91.66332531408716,93.4965918203689,21739.0,24999.85,30.20041503140257,8003.0,58978.0,19903.0,1109.0,109732.0
2022,1,La Rioja,78.77459866564503,80.35009063895794,9546.0,10977.9,20.96917417226944,9103.0,59228.0,6395.0,31.0,84303.0
2022,1,Mendoza,48.73524093558345,49.70994575429512,123228.0,141712.19999999998,13.5994765497552,49464.0,74145.0,26969.0,1379.0,275185.0
2022,1,Misiones,49.04334199772953,50.02420883768412,25178.0,28954.699999999997,13.357539336702546,39147.0,91752.0,7807.0,7624.0,171508.0
2022,1,Neuquén,74.17305509992715,75.6565162019257,24193.0,27821.949999999997,22.07746042609429,28443.0,73200.0,23098.0,745.0,149679.0
2022,1,Río Negro,67.03640754987029,68.3771357008677,38037.0,43742.549999999996,20.61822984084394,38662.0,45366.0,16815.0,18494.0,157374.0
2022,1,Salta,56.10759340849759,57.22974527666754,40994.0,47143.1,13.588166053353753,44714.0,98667.0,5950.0,7190.0,197515.0
2022,1,San Juan,43.54598160933163,44.41690124151827,11294.0,12988.099999999999,11.092116468606635,34038.0,14449.0,20723.0,7674.0,88178.0
2022,1,San Luis,80.72423060601774,82.33871521813809,31.0,35.65,23.101656231687382,7987.0,11296.0,71809.0,28721.0,119844.0
2022,1,Santa Cruz,43.33842311053054,44.20519157274116,10766.0,12380.9,12.894297328809571,10537.0,23420.0,3974.0,405.0,49102.0
2022,1,Santa Fe,77.30458474758402,78.8506764425357,146552.0,168534.8,24.30739699893441,213486.0,444609.0,45261.0,20571.0,870479.0
2022,1,Santiago Del Estero,47.17273839324049,48.1161931611053,1093.0,1256.9499999999998,11.706882132029495,18118.0,87979.0,6349.0,2922.0,116461.0
2022,1,Tierra Del Fuego,98.29055038672794,100.2563613944625,416.0,478.4,29.13865104068589,13031.0,38700.0,124.0,340.0,52611.0
2022,1,Tucumán,57.39003227231194,58.53783291775818,86174.0,99100.09999999999,14.215533334298076,92532.0,62396.0,3995.0,487.0,245584.0
2021,4,Buenos Aires,75.66410602338475,77.17738814385244,1176024.0,1352427.5999999999,25.36251411440295,426325.0,2706506.0,126887.0,73415.0,4509157.0
2021,4,Capital Federal,111.27002612891737,113.49542665149572,60005.0,69005.75,45.848510714562856,111360.0,1205128.0,5679.0,29947.0,1412119.0
2021,4,Catamarca,55.2526999859741,56.35775398569358,25100.0,28864.999999999996,14.054223759225389,16385.0,13858.0,1512.0,2235.0,59090.0
2021,4,Chaco,44.04856389025934,44.929535168064525,34688.0,39891.2,11.772399458164148,35548.0,63145.0,8005.0,2359.0,143745.0
2021,4,Chubut,82.57340063871433,84.22486865148862,9655.0,11103.25,25.309325144656967,46361.0,57412.0,28041.0,18839.0,160308.0
2021,4,Córdoba,84.50941853046088,86.1996069010701,217214.0,249796.09999999998,25.873153715537683,212011.0,487489.0,61277.0,8779.0,986770.0
2021,4,Corrientes,45.51016102946347,46.420364250052735,10138.0,11658.699999999999,11.983198552620909,42523.0,71183.0,6778.0,5290.0,135912.0
2021,4,Entre Ríos,63.15536143616578,64.41846866488909,23452.0,26969.8,18.88227767661483,70459.0,133387.0,25022.0,12726.0,265046.0
2021,4,Formosa,34.4545746388443,35.14366613162119,5151.0,5923.65,8.768865242200624,17211.0,15111.0,16018.0,172.0,53663.0
2021,4,Jujuy,56.921070514870486,58.0594919251679,24156.0,27779.399999999998,14.555241944242493,22330.0,60511.0,2927.0,3991.0,113915.0
2021,4,La Pampa,89.56734270241313,91.3586895564614,20192.0,23220.8,29.509892061530994,8175.0,58000.0,19286.0,1354.0,107007.0
2021,4,La Rioja,77.9234900964576,79.48195989838675,9446.0,10862.9,20.74238205028396,10387.0,56651.0,6613.0,31.0,83128.0
2021,4,Mendoza,47.50531709031775,48.45542343212411,109667.0,126117.04999999999,13.25625900699059,59842.0,71553.0,24666.0,1859.0,267587.0
2021,4,Misiones,49.06462073058497,50.04591314519667,22035.0,25340.249999999996,13.363319043268442,41778.0,92068.0,7649.0,7602.0,171132.0
2021,4,Neuquén,73.30016254020012,74.76616579100413,23253.0,26740.949999999997,21.817563119077384,29175.0,72761.0,21531.0,746.0,147466.0
2021,4,Río Negro,65.69489961160652,67.00879760383864,32212.0,37043.799999999996,20.205613568445425,42037.0,44495.0,16558.0,18451.0,153753.0
2021,4,Salta,56.81442605762217,57.950714578774615,39555.0,45488.25,13.759337691497716,46972.0,99808.0,5882.0,7188.0,199405.0
2021,4,San Juan,39.588851864871685,40.38062890216912,11072.0,12732.8,10.084133235970333,35868.0,13102.0,11423.0,8493.0,79958.0
2021,4,San Luis,80.29578283135379,81.90169848798087,30.0,34.5,22.97895624197615,8472.0,11064.0,70560.0,28723.0,118849.0
